,predict,target
2019-07-29 23:01:00,81.732177734375,88.0
2019-07-29 23:02:00,81.7327651977539,88.0
2019-07-29 23:03:00,81.73265838623047,84.0
2019-07-29 23:05:00,81.73199462890625,86.0
2019-07-29 23:06:00,81.73261260986328,88.0
2019-07-29 23:07:00,81.73261260986328,86.0
2019-07-29 23:08:00,81.73261260986328,85.0
2019-07-29 23:09:00,81.73261260986328,85.0
2019-07-29 23:10:00,81.73261260986328,85.0
2019-07-29 23:11:00,81.73281860351562,86.0
2019-07-29 23:12:00,81.73281860351562,86.0
2019-07-29 23:13:00,81.73261260986328,87.0
2019-07-29 23:15:00,81.73261260986328,80.0
2019-07-29 23:16:00,81.73261260986328,83.0
2019-07-29 23:17:00,81.73236846923828,81.0
2019-07-29 23:18:00,81.73261260986328,78.0
2019-07-29 23:19:00,81.73261260986328,72.0
2019-07-29 23:21:00,36.875911712646484,75.0
2019-07-29 23:22:00,36.875911712646484,89.0
2019-07-29 23:23:00,36.875911712646484,85.0
2019-07-29 23:24:00,36.875911712646484,76.0
2019-07-29 23:25:00,36.875911712646484,84.0
2019-07-29 23:26:00,36.875911712646484,84.0
2019-07-29 23:27:00,36.875911712646484,78.0
2019-07-29 23:29:00,36.875911712646484,82.0
2019-07-29 23:30:00,81.73261260986328,87.0
2019-07-29 23:31:00,81.73344421386719,87.0
2019-07-29 23:32:00,81.73261260986328,84.0
2019-07-29 23:33:00,81.73261260986328,67.0
2019-07-29 23:34:00,81.73261260986328,81.0
2019-07-29 23:35:00,81.73261260986328,70.0
2019-07-29 23:36:00,81.7332763671875,86.0
2019-07-29 23:38:00,81.73261260986328,87.0
2019-07-29 23:39:00,81.73261260986328,82.0
2019-07-29 23:40:00,81.73326110839844,85.0
2019-07-29 23:41:00,81.73261260986328,85.0
2019-07-29 23:42:00,81.73261260986328,88.0
2019-07-29 23:43:00,81.73261260986328,81.0
2019-07-29 23:44:00,81.73261260986328,70.0
2019-07-29 23:45:00,81.73261260986328,82.0
2019-07-29 23:46:00,81.73261260986328,74.0
2019-07-29 23:47:00,81.73352813720703,83.0
2019-07-29 23:48:00,81.73261260986328,86.0
2019-07-29 23:49:00,81.73261260986328,68.0
2019-07-29 23:50:00,81.73261260986328,84.0
2019-07-29 23:51:00,81.73261260986328,84.0
2019-07-29 23:52:00,81.73261260986328,78.0
2019-07-29 23:53:00,81.73261260986328,86.0
2019-07-29 23:54:00,81.73261260986328,82.0
2019-07-29 23:55:00,81.73261260986328,88.0
2019-07-29 23:56:00,81.73261260986328,75.0
2019-07-29 23:57:00,81.73258972167969,89.0
2019-07-29 23:58:00,81.73261260986328,90.0
2019-07-29 23:59:00,81.73345947265625,90.0
